Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,11/11/2013,304.97974,285.8875,323.27249,260.70325
BTC,12/11/2013,338.137,304.97974,339.795,303.6505
BTC,13/11/2013,357.48,338.137,358.94999,336.30775
BTC,14/11/2013,402.954,357.48,409.51,350.20999
BTC,15/11/2013,409.10375,402.954,415.93975,383.5775
BTC,16/11/2013,420.21649,409.10375,427.90425,386.565
BTC,17/11/2013,437.29725,420.21649,437.9695,415.1975
BTC,18/11/2013,510.6025,437.29725,512.16999,436.13324
BTC,19/11/2013,693.65,510.6025,781.82624,491.585
BTC,20/11/2013,531.54249,693.65,716.825,394.90624
BTC,21/11/2013,574.71599,531.54249,580.11375,428.9815
BTC,22/11/2013,681.33,574.71599,705.49725,570.78025
BTC,23/11/2013,774.18,681.33,775.6525,651.89599
BTC,24/11/2013,746.19374,774.18,823.41525,691.6925
BTC,25/11/2013,768.8475,746.19374,787.2475,707.75149
BTC,26/11/2013,789.36475,768.8475,793.71424,739.8375
BTC,27/11/2013,893.1815,789.36475,904.585,787.19
BTC,28/11/2013,934.355,893.1815,965.2525,870.38525
BTC,29/11/2013,1068.363,934.355,1084.9466,912.931
BTC,30/11/2013,1154.92593,1068.363,1157.49894,1028.22683
BTC,01/12/2013,1099.51926,1154.92593,1156.02831,1099.2065
BTC,02/12/2013,1019.78966,1099.51926,1099.70754,783.68616
BTC,03/12/2013,1028.845,1019.78966,1049.67916,929.95483
BTC,04/12/2013,1071.2848,1028.845,1092.83331,1021.177
BTC,05/12/2013,1139.33083,1071.2848,1151.29749,1066.87277
BTC,06/12/2013,1004.61633,1139.33083,1144.36916,870.3838
BTC,07/12/2013,759.43041,1004.61633,1038.55,656.87499
BTC,08/12/2013,689.81,759.43041,826.32766,558.08333
BTC,09/12/2013,841.83966,689.81,845.85092,682.71342
BTC,10/12/2013,916.77599,841.83966,948.68183,809.91748
BTC,11/12/2013,967.42866,916.77599,1004.93666,900.68016
BTC,12/12/2013,866.29003,967.42866,975.62383,832.22683
BTC,13/12/2013,911.23204,866.29003,919.30033,843.4055
BTC,14/12/2013,889.81946,911.23204,933.17016,859.44999
BTC,15/12/2013,848.9975,889.81946,897.30915,848.25583
BTC,16/12/2013,868.95316,848.9975,886.23583,819.43828
BTC,17/12/2013,653.80483,868.95316,876.21516,636.15056
BTC,18/12/2013,654.06266,653.80483,757.02366,647.62209
BTC,19/12/2013,553.69166,654.06266,654.06266,422.497
BTC,20/12/2013,693.05883,553.69166,710.3255,545.53966
BTC,21/12/2013,649.38965,693.05883,733.23666,598.06131
BTC,22/12/2013,595.95883,649.38965,651.8435,580.72816
BTC,23/12/2013,647.68316,595.95883,671.59166,594.36595
BTC,24/12/2013,671.58116,647.68316,685.3675,632.5431
BTC,25/12/2013,659.84333,671.58116,675.614,645.78333
BTC,26/12/2013,702.00083,659.84333,720.22498,651.53
BTC,27/12/2013,758.01016,702.00083,780.93666,698.07
BTC,28/12/2013,734.01166,758.01016,772.90666,723.98666
BTC,29/12/2013,717.92623,734.01166,753.83333,705.1025
BTC,30/12/2013,752.82022,717.92623,759.6362,713.751
BTC,31/12/2013,744.17249,752.82022,763.83,743.7
BTC,01/01/2014,768.40783,744.17249,772.959,733.19433
BTC,02/01/2014,769.09849,768.40783,774.26333,750.52516
BTC,03/01/2014,804.02719,769.09849,826.34166,768.15367
BTC,04/01/2014,813.31748,804.02719,839.85833,798.11833
BTC,05/01/2014,871.11583,813.31748,873.98,808.71666
BTC,06/01/2014,970.65083,871.11583,972.00354,861.25831
BTC,07/01/2014,962.46447,970.65083,1023.16666,914.76666
BTC,08/01/2014,855.75933,962.46447,970.22516,788.70166
BTC,09/01/2014,860.84166,855.75933,886.02916,822.32296
BTC,10/01/2014,847.5325,860.84166,880.64166,814.17054
BTC,11/01/2014,892.26115,847.5325,902.035,837.57458
BTC,12/01/2014,916.69666,892.26115,940.495,876.57666
BTC,13/01/2014,873.27168,916.69666,920.71733,857.73833
BTC,14/01/2014,863.69888,873.27168,873.27168,821.00333
BTC,15/01/2014,853.25666,863.69888,871.11385,839.125
BTC,16/01/2014,874.07416,853.25666,888.88519,853.25666
BTC,17/01/2014,842.19173,874.07416,879.62999,841.27916
BTC,18/01/2014,834.86666,842.19173,854.32827,810.22333
BTC,19/01/2014,838.42916,834.86666,850.56666,834.08333
BTC,20/01/2014,881.87583,838.42916,885.16166,834.77499
BTC,21/01/2014,873.28916,881.87583,882.45166,857.84584
BTC,22/01/2014,874.13266,873.28916,876.14065,861.77833
BTC,23/01/2014,864.56116,874.13266,874.13266,854.05916
BTC,24/01/2014,838.14997,864.56116,866.45964,834.99822
BTC,25/01/2014,834.57416,838.14997,838.26,810.64042
BTC,26/01/2014,858.12641,834.57416,876.24165,833.72638
BTC,27/01/2014,887.08337,858.12641,899.2283,851.74833
BTC,28/01/2014,830.53133,887.08337,887.37698,800.03833
BTC,29/01/2014,832.89496,830.53133,860.24269,798.18333
BTC,30/01/2014,832.87399,832.89496,846.92594,832.25583
BTC,31/01/2014,841.48914,832.87399,855.86653,816.05635
BTC,01/02/2014,847.36383,841.48914,852.3975,839.53166
BTC,02/02/2014,854.7225,847.36383,869.4796,843.35344
BTC,03/02/2014,856.03366,854.7225,882.43124,850.30816
BTC,04/02/2014,847.70697,856.03366,856.03366,842.73749
BTC,05/02/2014,844.28836,847.70697,852.26152,839.72962
BTC,06/02/2014,802.75333,844.28836,846.35105,793.63344
BTC,07/02/2014,748.43559,802.75333,815.79724,738.61499
BTC,08/02/2014,692.66914,748.43559,758.33833,658.83333
BTC,09/02/2014,668.86463,692.66914,721.64138,657.87721
BTC,10/02/2014,700.44843,668.86463,711.97109,662.74428
BTC,11/02/2014,694.3125,700.44843,702.36822,535.55166
BTC,12/02/2014,665.7975,694.3125,710.6525,635.23249
BTC,13/02/2014,645.615,665.7975,671.9975,633.395
BTC,14/02/2014,578.4125,645.615,653.355,532.3125
BTC,15/02/2014,641.91,578.4125,696.75,553.075
BTC,16/02/2014,656.2725,641.91,657.99749,626.80499
BTC,17/02/2014,611.04499,656.2725,657.2725,576.025
BTC,18/02/2014,634.99,611.04499,653.75,603.0675
BTC,19/02/2014,618.79,634.99,641.37249,607.9425
BTC,20/02/2014,619.8425,618.79,625.4225,612.5025
BTC,21/02/2014,545.7625,619.8425,620.84,525.0725
BTC,22/02/2014,561.535,545.7625,581.24,538.12249
BTC,23/02/2014,622.22,561.535,622.22,554.3525
BTC,24/02/2014,572.7675,622.22,637.5025,567.5
BTC,25/02/2014,501.155,572.7675,583.135,492.8925
BTC,26/02/2014,550.6025,501.155,562.54499,418.755
BTC,27/02/2014,573.1025,550.6025,599.505,548.98749
BTC,28/02/2014,567.2925,573.1025,583.7825,558.2225
BTC,01/03/2014,551.73,567.2925,570.7875,535.87
BTC,02/03/2014,560.195,551.73,570.0025,548.7825
BTC,03/03/2014,567.7,560.195,568.275,550.74749
BTC,04/03/2014,666.1475,567.7,681.615,562.3025
BTC,05/03/2014,660.84,666.1475,698.05,653.525
BTC,06/03/2014,662.0225,660.84,666.3275,643.525
BTC,07/03/2014,651.285,662.0225,663.74,644.345
BTC,08/03/2014,612.33,651.285,653.98249,611.02
BTC,09/03/2014,611.1625,612.33,626.25,600.99249
BTC,10/03/2014,637.615,611.1625,644.8825,610.0675
BTC,11/03/2014,626,637.615,642.5275,610.995
BTC,12/03/2014,633.74749,626,645.75,615.2725
BTC,13/03/2014,631.755,633.74749,639.5375,627.3925
BTC,14/03/2014,636.41414,631.755,641.66999,631.315
BTC,15/03/2014,628.18751,636.41414,636.75668,624.77166
BTC,16/03/2014,632.95333,628.18751,636,625.54183
BTC,17/03/2014,630.34833,632.95333,635.24333,627.48
BTC,18/03/2014,617.24333,630.34833,630.77666,616.17333
BTC,19/03/2014,616.86665,617.24333,621.47168,599.75998
BTC,20/03/2014,601.015,616.86665,621.18353,601.00996
BTC,21/03/2014,581.33333,601.015,604.52831,579.55331
BTC,22/03/2014,570.36168,581.33333,605.15331,563.46166
BTC,23/03/2014,562.95333,570.36168,571.86663,550.60331
BTC,24/03/2014,557.16833,562.95333,570.33081,551.16331
BTC,25/03/2014,573.34998,557.16833,587.98666,552.12997
BTC,26/03/2014,572.49161,573.34998,585.57499,570.43831
BTC,27/03/2014,570.54833,572.49161,589.95497,561.61165
BTC,28/03/2014,509.70665,570.54833,571.57667,471.01833
BTC,29/03/2014,499.24998,509.70665,525.16333,487.16333
BTC,30/03/2014,486.80845,499.24998,504.21231,483.5116
BTC,31/03/2014,472.4783,486.80845,486.80845,443.26166
BTC,01/04/2014,464.88,472.4783,472.4783,442.19166
BTC,02/04/2014,480.16581,464.88,500.64066,459.6783
BTC,03/04/2014,427.87498,480.16581,494.98333,419.705
BTC,04/04/2014,432.99716,427.87498,456.34863,414.41333
BTC,05/04/2014,453.87148,432.99716,455.99333,428.63
BTC,06/04/2014,462.445,453.87148,465.63773,444.13629
BTC,07/04/2014,456.46948,462.445,466.475,450.80566
BTC,08/04/2014,452.81,456.46948,458.925,443.71861
BTC,09/04/2014,450.48083,452.81,456.88188,446.71668
BTC,10/04/2014,426.98333,450.48083,453.06422,423.82189
BTC,11/04/2014,374.59166,426.98333,427.5385,344.22166
BTC,12/04/2014,438.24666,374.59166,438.24666,374.59166
BTC,13/04/2014,423.51566,438.24666,438.91098,413.08833
BTC,14/04/2014,409.03166,423.51566,425.68516,394.1018
BTC,15/04/2014,455.28316,409.03166,470.95333,406.85585
BTC,16/04/2014,517.09666,455.28316,524.80583,454.18166
BTC,17/04/2014,522.455,517.09666,543.31749,493.08333
BTC,18/04/2014,490.8785,522.455,529.29783,481.45501
BTC,19/04/2014,469.38332,490.8785,497.77333,468.16166
BTC,20/04/2014,507.80663,469.38332,511.76836,467.81668
BTC,21/04/2014,505.09665,507.80663,510.83165,489.18038
BTC,22/04/2014,497.65001,505.09665,507.44998,488.875
BTC,23/04/2014,487.84,497.65001,498.59166,482.73666
BTC,24/04/2014,487.11333,487.84,489.32333,480.58666
BTC,25/04/2014,469.08816,487.11333,500.62333,468.98333
BTC,26/04/2014,448.77834,469.08816,472.48499,440.13883
BTC,27/04/2014,452.14829,448.77834,463.18666,448.50008
BTC,28/04/2014,426.78166,452.14829,457.45584,423.40166
BTC,29/04/2014,432.60498,426.78166,445.73085,421.07659
BTC,30/04/2014,444.85668,432.60498,449.08171,431.00828
BTC,01/05/2014,454.55666,444.85668,455.43,432.97666
BTC,02/05/2014,453.59833,454.55666,459.42666,447.27006
BTC,03/05/2014,441.97833,453.59833,453.59833,439.90333
BTC,04/05/2014,438.29035,441.97833,443.36661,428.51808
BTC,05/05/2014,432.78748,438.29035,438.44883,428.51836
BTC,06/05/2014,418.61831,432.78748,434.35831,418.55791
BTC,07/05/2014,428.42593,418.61831,431.33331,418.01666
BTC,08/05/2014,442.57666,428.42593,446.35999,423.11181
BTC,09/05/2014,439.04,442.57666,445.01666,434.30833
BTC,10/05/2014,449.04333,439.04,451.24499,438.06666
BTC,11/05/2014,449.74166,449.04333,453.54333,446.21333
BTC,12/05/2014,434.27,449.74166,450.04166,430.33333
BTC,13/05/2014,437,434.27,440.21333,431.515
BTC,14/05/2014,438.88,437,439.51833,433.13333
BTC,15/05/2014,445.045,438.88,445.89666,438.88
BTC,16/05/2014,443.18,445.045,447.74499,441.73333
BTC,17/05/2014,445.60666,443.18,447.15166,442.29
BTC,18/05/2014,445.15666,445.60666,446.48,443.78166
BTC,19/05/2014,444.73833,445.15666,446.18166,442.35
BTC,20/05/2014,455.65333,444.73833,458.23333,442.05333
BTC,21/05/2014,489.86999,455.65333,494.21,450.16333
BTC,22/05/2014,490.18666,489.86999,494.46166,487.63
BTC,23/05/2014,522.31,490.18666,535.09,487.815
BTC,24/05/2014,512.30833,522.31,543.095,511.97333
BTC,25/05/2014,533.92999,512.30833,535.725,511.69833
BTC,26/05/2014,579.59333,533.92999,589.945,533.13
BTC,27/05/2014,581.51,579.59333,589.78166,575.84
BTC,28/05/2014,572.44833,581.51,591.24166,549.62
BTC,29/05/2014,562.4,572.44833,576.55666,560.415
BTC,30/05/2014,571.845,562.4,573.27,556.28166
BTC,31/05/2014,612.12666,571.845,622.50666,566.69666
BTC,01/06/2014,638.16333,612.12666,638.94666,610.82499
BTC,02/06/2014,634.98333,638.16333,676.60333,620.585
BTC,03/06/2014,660.24666,634.98333,667.19333,610.99333
BTC,04/06/2014,627.79833,660.24666,675.73833,617.78666
BTC,05/06/2014,642.89166,627.79833,650.76333,624.965
BTC,06/06/2014,652.52666,642.89166,664.97833,639.42833
BTC,07/06/2014,648.60166,652.52666,657.94166,635.85166
BTC,08/06/2014,652.59166,648.60166,656.84666,646.63166
BTC,09/06/2014,652.11,652.59166,655.015,649.41333
BTC,10/06/2014,644.085,652.11,653.34666,637.57833
BTC,11/06/2014,642.00666,644.085,657.97,640.465
BTC,12/06/2014,632.55,642.00666,646.385,624.16166
BTC,13/06/2014,585.48333,632.55,633.66166,562.59
BTC,14/06/2014,588.52333,585.48333,613.465,584.635
BTC,15/06/2014,570.28833,588.52333,590.76166,541.19333
BTC,16/06/2014,589.06666,570.28833,593.54833,551.31
BTC,17/06/2014,592.25666,589.06666,606.82166,585.685
BTC,18/06/2014,610.41333,592.25666,613.99166,590.18833
BTC,19/06/2014,601.88666,610.41333,612.85666,599.72333
BTC,20/06/2014,594.09333,601.88666,605.93833,590.16999
BTC,21/06/2014,582.04499,594.09333,595.21666,581.18833
BTC,22/06/2014,599.57,582.04499,603.205,581.68666
BTC,23/06/2014,592.405,599.57,602.82833,591.495
BTC,24/06/2014,584.64166,592.405,593.255,580.84
BTC,25/06/2014,575.905,584.64166,588.78,570.47166
BTC,26/06/2014,571.76666,575.905,576.03166,558.58333
BTC,27/06/2014,582.43166,571.76666,584.16333,565.91833
BTC,28/06/2014,597.66833,582.43166,600.72,576.24833
BTC,29/06/2014,598.73333,597.66833,604.33833,591.205
BTC,30/06/2014,597.51333,598.73333,600.54166,588.98
BTC,01/07/2014,647.12249,597.51333,647.12249,597.04499
BTC,02/07/2014,637.85625,647.12249,654.76874,627.77125
BTC,03/07/2014,642.65125,637.85625,653.65875,635.17999
BTC,04/07/2014,643.95124,642.65125,646.88375,635.26625
BTC,05/07/2014,628.41625,643.95124,644.18125,625.80125
BTC,06/07/2014,631.03,628.41625,635.89874,624.50125
BTC,07/07/2014,631.29875,631.03,632.575,627.43125
BTC,08/07/2014,621.24249,631.29875,633.0625,612.2625
BTC,09/07/2014,620.72,621.24249,621.74749,616.19625
BTC,10/07/2014,621.3075,620.72,624.01,616.165
BTC,11/07/2014,616.83124,621.3075,621.4675,609.4275
BTC,12/07/2014,634.35749,616.83124,636.61875,613.94875
BTC,13/07/2014,627.69,634.35749,635.04625,625.99249
BTC,14/07/2014,621.42499,627.69,634.12,621.28
BTC,15/07/2014,618.73875,621.42499,623.24749,615.9775
BTC,16/07/2014,619.8075,618.73875,622.46124,617.84124
BTC,17/07/2014,614.68875,619.8075,620.45,612.87625
BTC,18/07/2014,623.49749,614.68875,627.04625,611.75
BTC,19/07/2014,623.99625,623.49749,628.54499,616.475
BTC,20/07/2014,623.00625,623.99625,626.80875,621.365
BTC,21/07/2014,617.96124,623.00625,623.97375,617.38375
BTC,22/07/2014,622.10749,617.96124,622.20624,616.73375
BTC,23/07/2014,618.4475,622.10749,622.49125,617.945
BTC,24/07/2014,617.6875,618.4475,619.92375,616.93375
BTC,25/07/2014,602.93125,617.6875,618.26374,591.455
BTC,26/07/2014,597.585,602.93125,605.98125,593.5875
BTC,27/07/2014,592.96375,597.585,598.15625,590.17625
BTC,28/07/2014,580.11,592.96375,595.87875,579.15125
BTC,29/07/2014,585.44875,580.11,622.93125,511.66375
BTC,30/07/2014,580.5175,585.44875,586.625,577.58124
BTC,31/07/2014,564.57,580.5175,581.28125,559.62249
BTC,01/08/2014,583.39,564.57,587.96,564.57
BTC,02/08/2014,593.80625,583.39,601.835,582.61
BTC,03/08/2014,581.52,593.80625,594.16875,580.22625
BTC,04/08/2014,585.80125,581.52,588.20375,578.20875
BTC,05/08/2014,582.33375,585.80125,592.83624,581.84375
BTC,06/08/2014,582.52125,582.33375,586.70875,579.83624
BTC,07/08/2014,583.62375,582.52125,586.8775,578.80125
BTC,08/08/2014,595.80875,583.62375,598.76874,581.7175
BTC,09/08/2014,585.39625,595.80875,596.385,585.23125
BTC,10/08/2014,586.05875,585.39625,588.99749,584.89
BTC,11/08/2014,588.7525,586.05875,593.6975,585.695
BTC,12/08/2014,566.31625,588.7525,588.7525,564.91999
BTC,13/08/2014,565.55125,566.31625,573.31375,562.8375
BTC,14/08/2014,534.54,565.55125,565.73,524.33
BTC,15/08/2014,511.4725,534.54,534.57875,495.26
BTC,16/08/2014,487.56625,511.4725,515.36,483.475
BTC,17/08/2014,516.62625,487.56625,522.19,484.215
BTC,18/08/2014,489.4675,516.62625,516.95375,482.85875
BTC,19/08/2014,455.91625,489.4675,491.965,435.59875
BTC,20/08/2014,472.91,455.91625,488.52625,455.83375
BTC,21/08/2014,519.015,472.91,532.7675,464.39625
BTC,22/08/2014,508.12875,519.015,526.78625,506.63625
BTC,23/08/2014,507.51,508.12875,522.19375,500.03625
BTC,24/08/2014,501.63125,507.51,509.285,490.61
BTC,25/08/2014,503.32125,501.63125,513.375,496.2525
BTC,26/08/2014,504.62625,503.32125,506.19875,497.67625
BTC,27/08/2014,513.39125,504.62625,514.85375,503.22625
BTC,28/08/2014,514.62375,513.39125,521.34875,509.58875
BTC,29/08/2014,506.025,514.62375,515.78375,505.46125
BTC,30/08/2014,504.70625,506.025,512.28,502.4225
BTC,31/08/2014,502.055,504.70625,505.585,499.49875
BTC,01/09/2014,474.5425,502.055,502.54375,474.09125
BTC,02/09/2014,477.98375,474.5425,485.94,471.12375
BTC,03/09/2014,476.88375,477.98375,483.305,470.88375
BTC,04/09/2014,475.65,476.88375,479.59875,473.87875
BTC,05/09/2014,485.65125,475.65,494.03625,475.10375
BTC,06/09/2014,480.9075,485.65125,489.5875,478.82625
BTC,07/09/2014,481.88375,480.9075,484.8225,479.78
BTC,08/09/2014,473.58625,481.88375,485.37,471.99875
BTC,09/09/2014,468.5775,473.58625,478.3925,464.52
BTC,10/09/2014,474.29125,468.5775,478.03375,464.65625
BTC,11/09/2014,479.4175,474.29125,487.20625,474.29125
BTC,12/09/2014,473.6725,479.4175,480.3975,471.16625
BTC,13/09/2014,471.5325,473.6725,476.02125,467.1125
BTC,14/09/2014,475.37875,471.5325,479.2275,470.97125
BTC,15/09/2014,475.02125,475.37875,477.78375,473.335
BTC,16/09/2014,471.08375,475.02125,476.43625,468.3875
BTC,17/09/2014,464.55375,471.08375,472.42125,461.65625
BTC,18/09/2014,449.95875,464.55375,465.32375,446.705
BTC,19/09/2014,425.4475,449.95875,451.36625,405.18375
BTC,20/09/2014,410.08,425.4475,426.48125,380.745
BTC,21/09/2014,405.79625,410.08,422.99125,401.93375
BTC,22/09/2014,399.0975,405.79625,405.79625,390.7875
BTC,23/09/2014,399.5025,399.0975,405.245,394.59125
BTC,24/09/2014,427.8125,399.5025,443.6875,391.45625
BTC,25/09/2014,416.12,427.8125,431.79,412.89875
BTC,26/09/2014,410.15,416.12,418.56,406.60125
BTC,27/09/2014,403.4975,410.15,411.04,396.04375
BTC,28/09/2014,398.84,403.4975,405.205,394.14
BTC,29/09/2014,377.97875,398.84,398.8675,370.05625
BTC,30/09/2014,376.08375,377.97875,385.71375,369.125
BTC,01/10/2014,387.94,376.08375,393.98,373.77625
BTC,02/10/2014,381.7475,387.94,390.35375,377.6
BTC,03/10/2014,372.0575,381.7475,382.77125,369.24875
BTC,04/10/2014,360.7525,372.0575,374.555,353.80125
BTC,05/10/2014,335.98125,360.7525,362.13,321.86375
BTC,06/10/2014,308.07875,335.98125,337.22375,286.36874
BTC,07/10/2014,337.23375,308.07875,343.51,304.6875
BTC,08/10/2014,326.2325,337.23375,338.76,316.71749
BTC,09/10/2014,351.34625,326.2325,355.73875,325.51375
BTC,10/10/2014,368.59625,351.34625,382.66625,347.19
BTC,11/10/2014,359.2025,368.59625,374.90375,351.54
BTC,12/10/2014,356.99875,359.2025,363.73375,350.48625
BTC,13/10/2014,371.15625,356.99875,377.92125,352.45375
BTC,14/10/2014,392.7825,371.15625,394.5675,366.7275
BTC,15/10/2014,396.34625,392.7825,409.73375,390.89375
BTC,16/10/2014,392.56625,396.34625,397.48375,386.385
BTC,17/10/2014,376.26875,392.56625,393.36375,369.29375
BTC,18/10/2014,378.675,376.26875,382.7,371.83375
BTC,19/10/2014,390.95875,378.675,392.87125,376.21125
BTC,20/10/2014,381.72375,390.95875,391.365,381.72375
BTC,21/10/2014,380.0575,381.72375,383.8175,377.025
BTC,22/10/2014,382.93875,380.0575,388.965,377.90937
BTC,23/10/2014,376.59,382.93875,383.8075,376.59
BTC,24/10/2014,351.7825,376.59,376.59,351.25625
BTC,25/10/2014,353.6325,351.7825,360.555,351.12
BTC,26/10/2014,345.1925,353.6325,355.545,339.92625
BTC,27/10/2014,350.9775,345.1925,357.86875,345.1925
BTC,28/10/2014,349.79625,350.9775,355.53125,346.00125
BTC,29/10/2014,348.9025,349.79625,354.6925,346.82875
BTC,30/10/2014,335.53625,348.9025,351.84875,332.49874
BTC,31/10/2014,343.55875,335.53625,350.41375,332.73375
BTC,01/11/2014,338.0105,343.55875,346.26625,335.50367
BTC,02/11/2014,325.22633,338.0105,338.1295,319.367
BTC,03/11/2014,331.60083,325.22633,333.75983,319.0435
BTC,04/11/2014,324.71833,331.60083,332.75133,323.06333
BTC,05/11/2014,332.45666,324.71833,335.81166,320.93333
BTC,06/11/2014,336.585,332.45666,341.49,328.56166
BTC,07/11/2014,346.775,336.585,351.575,336.02833
BTC,08/11/2014,344.81166,346.775,351.295,339.86
BTC,09/11/2014,343.065,344.81166,345.625,340.63
BTC,10/11/2014,358.50166,343.065,363.85333,342.325
BTC,11/11/2014,368.07666,358.50166,374.71166,357.98
BTC,12/11/2014,376.99666,368.07666,380.52,360.49166
BTC,13/11/2014,442.10666,376.99666,442.37166,376.98666
BTC,14/11/2014,389.00333,442.10666,458.05166,385.675
BTC,15/11/2014,394.92666,389.00333,412.20666,381.855
BTC,16/11/2014,377.08,394.92666,397.02666,368.45
BTC,17/11/2014,400.47166,377.08,404.445,376.615
BTC,18/11/2014,384.93,400.47166,410.17,375.47833
BTC,19/11/2014,375.83333,384.93,389.35999,369.515
BTC,20/11/2014,376.16,375.83333,385.06,371.71833
BTC,21/11/2014,348.565,376.16,377.63,347.51333
BTC,22/11/2014,352.42,348.565,355.835,341.93
BTC,23/11/2014,356.8,352.42,363.70166,351.06833
BTC,24/11/2014,367.83,356.8,371.24166,353.475
BTC,25/11/2014,381.20666,367.83,388.67666,364.89
BTC,26/11/2014,375.498,381.20666,393.06333,369.851
BTC,27/11/2014,372.819,375.498,377.667,365.265
BTC,28/11/2014,368.983,372.819,373.272,367.401
BTC,29/11/2014,375.44,368.983,381.554,358.018
BTC,30/11/2014,376.851,375.44,385.537,372.332
BTC,01/12/2014,376.13218,376.851,381.582,374.492
BTC,02/12/2014,377.862,376.13218,382.602,376.082
BTC,03/12/2014,382.452,377.862,383.719,377.85311
BTC,04/12/2014,376.382,382.452,383.008,373.9132
BTC,05/12/2014,368.3618,376.382,378.106,365.543
BTC,06/12/2014,373.414,368.3618,378.235,367.6398
BTC,07/12/2014,373.744,373.414,375.501,370.93
BTC,08/12/2014,373.155,373.744,375.849,373.059
BTC,09/12/2014,357.884,373.155,373.7,356.069
BTC,10/12/2014,348.898,357.884,358.097,344.198
BTC,11/12/2014,341.041,348.898,351.242,337.632
BTC,12/12/2014,348.272,341.041,361.003,340.081
BTC,13/12/2014,346.742,348.272,353.846,345.851
BTC,14/12/2014,347.348,346.742,348.36,345.363
BTC,15/12/2014,348.674,347.348,353.14099,346.519
BTC,16/12/2014,338.547,348.674,349.745,337.79
BTC,17/12/2014,330.536,338.547,339.901,323.77499
BTC,18/12/2014,317.405,330.536,331.281,314.438
BTC,19/12/2014,306.45999,317.405,317.405,304.225
BTC,20/12/2014,319.196,306.45999,320.19099,306.45999
BTC,21/12/2014,321.89299,319.196,330.77,319.196
BTC,22/12/2014,320.03499,321.89299,324.993,317.58299
BTC,23/12/2014,328.701,320.03499,332.466,318.975
BTC,24/12/2014,332.053,328.701,335.903,328.053
BTC,25/12/2014,321.386,332.053,332.821,317.734
BTC,26/12/2014,318.563,321.386,321.685,316.13
BTC,27/12/2014,320.868,318.563,330.467,318.494
BTC,28/12/2014,316.009,320.868,321.556,312.007
BTC,29/12/2014,315.64,316.009,319.63099,310.541
BTC,30/12/2014,313.994,315.64,317.552,311.705
BTC,31/12/2014,309.903,313.994,314.467,308.812
BTC,01/01/2015,317.204,309.903,319.559,309.661
BTC,02/01/2015,314.49899,317.204,317.31599,312.567
BTC,03/01/2015,311.14099,314.49899,315.56599,310.156
BTC,04/01/2015,277.853,311.14099,312.288,275.952
BTC,05/01/2015,270.813,277.853,286.243,257.022
BTC,06/01/2015,272.0175,270.813,277.97199,265.24
BTC,07/01/2015,283.84125,272.0175,286.95999,271.67874
